City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
59,Cuiluan,CN,2022-02-05 16:55:02,47.72,128.648,-8.46,100,97,3.78,overcast clouds
60,Ostrovnoy,RU,2022-02-05 16:55:03,68.0531,39.5131,16.07,82,100,32.5,overcast clouds
61,Clyde River,CA,2022-02-05 16:55:03,70.4692,-68.5914,-21.77,76,75,13.8,broken clouds
62,Saint-Augustin,CA,2022-02-05 16:55:03,51.226,-58.6502,4.91,93,100,16.17,light snow
63,Kawambwa,ZM,2022-02-05 16:55:03,-9.7915,29.0791,63.03,92,100,1.72,light rain
64,Lorengau,PG,2022-02-05 16:55:04,-2.0226,147.2712,80.35,80,40,8.79,scattered clouds
65,Navirai,BR,2022-02-05 16:55:04,-23.065,-54.1906,81.55,81,72,8.12,moderate rain
66,Stromness,GB,2022-02-05 16:55:05,58.965,-3.296,37.36,68,72,41.09,light rain
67,Hilo,US,2022-02-05 16:55:05,19.7297,-155.09,69.53,88,75,4.61,broken clouds
68,Kundiawa,PG,2022-02-05 16:55:05,-6.0167,144.9667,62.38,99,100,2.17,overcast clouds
69,Palana,RU,2022-02-05 16:55:05,59.1167,159.9667,4.44,82,54,10.63,broken clouds
70,Nuoro,IT,2022-02-05 16:55:06,40.3211,9.3297,51.06,82,98,6.08,overcast clouds
71,Ranikhet,IN,2022-02-05 16:55:06,29.65,79.4167,33.55,91,3,2.24,clear sky
72,Cariamanga,EC,2022-02-05 16:55:06,-4.3333,-79.55,66.97,72,87,4.45,moderate rain
73,Sabha,LY,2022-02-05 16:55:07,27.0377,14.4283,59.72,21,0,6.06,clear sky
74,Poco Das Trincheiras,BR,2022-02-05 16:55:07,-9.3125,-37.2856,95.11,24,100,8.5,overcast clouds
75,Kamenka,RU,2022-02-05 16:55:07,51.3223,42.7678,5.83,97,90,7.74,overcast clouds
76,Yeppoon,AU,2022-02-05 16:55:07,-23.1333,150.7333,73.18,70,21,18.88,few clouds
77,Jamestown,US,2022-02-05 16:55:03,42.097,-79.2353,19.09,50,75,4.0,broken clouds
78,Erenhot,CN,2022-02-05 16:55:08,43.6475,111.9767,3.65,88,5,7.74,clear sky
79,Chernyshevskiy,RU,2022-02-05 16:55:08,63.0128,112.4714,-9.08,99,95,2.64,overcast clouds
80,Vardo,NO,2022-02-05 16:55:09,70.3705,31.1107,26.55,78,100,26.98,overcast clouds
81,Pangnirtung,CA,2022-02-05 16:55:09,66.1451,-65.7125,-22.0,69,75,2.3,broken clouds
82,Roald,NO,2022-02-05 16:55:09,62.5833,6.1333,41.14,60,40,16.11,scattered clouds
83,Zhangjiakou,CN,2022-02-05 16:55:09,40.81,114.8794,13.06,67,2,5.75,light snow
84,Longyearbyen,SJ,2022-02-05 16:54:09,78.2186,15.6401,10.24,61,20,24.16,few clouds
85,Port Hawkesbury,CA,2022-02-05 16:55:10,45.6169,-61.3485,31.59,96,100,9.22,fog
86,Itarema,BR,2022-02-05 16:55:10,-2.9248,-39.9167,85.46,64,83,15.28,broken clouds
87,Saint George,US,2022-02-05 16:55:10,37.1041,-113.5841,48.34,46,0,0.0,clear sky
88,Barrow,US,2022-02-05 16:50:12,71.2906,-156.7887,-11.18,70,100,14.97,light snow
89,East London,ZA,2022-02-05 16:53:51,-33.0153,27.9116,67.14,94,75,6.91,light intensity drizzle
90,Mount Gambier,AU,2022-02-05 16:55:11,-37.8333,140.7667,58.91,82,89,8.05,overcast clouds
91,Bredasdorp,ZA,2022-02-05 16:55:11,-34.5322,20.0403,74.28,64,42,25.32,scattered clouds
92,Korocha,RU,2022-02-05 16:55:11,50.8107,37.1953,20.12,100,60,5.32,broken clouds
93,Mataura,NZ,2022-02-05 16:53:47,-46.1927,168.8643,40.12,98,15,2.1,few clouds
94,Paamiut,GL,2022-02-05 16:55:12,61.994,-49.6678,1.47,82,88,6.04,overcast clouds
95,Ixtapa,MX,2022-02-05 16:55:12,20.7,-105.2,81.75,42,56,3.2,broken clouds
96,Yarmouth,US,2022-02-05 16:55:12,41.7057,-70.2286,27.1,80,100,13.8,overcast clouds
97,Albany,US,2022-02-05 16:53:45,42.6001,-73.9662,19.02,70,27,8.01,scattered clouds
98,Eureka,US,2022-02-05 16:53:12,40.8021,-124.1637,43.93,94,78,2.77,broken clouds
99,Homer,US,2022-02-05 16:55:13,59.6425,-151.5483,37.78,90,98,2.71,overcast clouds
100,Pevek,RU,2022-02-05 16:55:13,69.7008,170.3133,-28.16,99,20,3.09,few clouds
101,Upernavik,GL,2022-02-05 16:55:13,72.7868,-56.1549,0.43,98,100,4.56,overcast clouds
102,Kapaa,US,2022-02-05 16:55:13,22.0752,-159.319,64.11,59,0,5.97,clear sky
103,Prince Rupert,CA,2022-02-05 16:55:14,54.3161,-130.3201,42.49,81,100,11.5,overcast clouds
104,Ferme-Neuve,CA,2022-02-05 16:55:14,46.7001,-75.4493,-0.62,68,12,8.28,few clouds
105,Viedma,AR,2022-02-05 16:55:14,-40.8135,-62.9967,62.51,50,100,17.2,overcast clouds
106,Wahiawa,US,2022-02-05 16:55:15,21.5028,-158.0236,63.79,85,0,6.91,clear sky
107,Leningradskiy,RU,2022-02-05 16:55:04,69.3833,178.4167,-21.06,96,9,5.01,clear sky
108,Vostok,RU,2022-02-05 16:55:15,46.4856,135.8833,-10.43,99,100,2.75,overcast clouds
109,Tadine,NC,2022-02-05 16:52:11,-21.55,167.8833,79.07,88,94,4.03,moderate rain
110,Ca Mau,VN,2022-02-05 16:55:15,9.1769,105.15,78.51,68,97,11.16,overcast clouds
